rank,name,matches,defence_points
322,Deepak Yadav,4,8
323,Tae Deok Eom,28,8
324,Cpo Surjeet Singh,27,8
325,Lucky Jaydev Dhankar,9,8
326,Ravindra Ramesh Kumawat,23,8
327,Sushil Kambrekar,10,8
328,Chand Singh,12,8
329,S.Sanjeevi Shanmugam,17,8
330,Manoj Gowda,21,8
331,Omkar R More,11,8
332,Aakash Dattu Arsul,6,8
333,Brijendra Singh Chaudhary,7,8
334,Saeid Ghaffari,9,8
335,Galla Raju,13,7
336,Badal Taqdir Singh,12,7
337,Sudhakar Krishant Kadam,9,7
338,Ajinkya Rohidas Kapre,25,7
339,Sagar Kumar,1,7
340,Jai Bhagwan,19,7
341,Lalit Chaudhary,9,7
342,Ravi Shivraj Bhati,9,7
343,Phool Chandra Aman Singh,2,7
344,Selvamani K,30,6
345,Sahil Surender,7,6
346,Mohit Pahal,3,6
347,Aashish Malik,18,6
348,Vaibhav Bhausaheb Garje,8,6
349,Vahid Rezaeimehr,9,6
350,Mohit Deswal,9,6
351,Rohit Raghav,12,6
352,Ravi Dalal,16,6
353,Shivam Anil Thakur,20,6
354,Amit Om Prakash Rathi,8,6
355,Narender Hoshiyar,23,6
356,Govind Gurjar,2,5
357,Sakthivel R,7,5
358,Ali Samadi,19,5
359,Harsh Kumar,5,5
360,Sahil Manoj Deswal,6,5
361,Shivansh Prem Singh Thakur,10,5
362,Varinder Singh,8,5
363,Anuj Kumar,7,5
364,T. Prasad,9,5
365,Bhavani Rajput,22,5
366,Vikas Kumar,14,5
367,Vikas Tomar,8,5
368,Parveen M. Jangra,6,5
369,Manpreet Singh,13,5
370,Jagdeesha K.K.,7,5
371,Naveen Dharmbir Sharma,8,4
372,Aditya Tushar Shinde,18,4
373,Aryavardhan Navale,9,4
374,Suresu Kumar,12,4
375,Ashish Chhokar,11,4
376,Isac Antony,7,4
377,Rajeev Kumar,3,4
378,Kethavath Hanumanthu,8,4
379,Rathan K,5,4
380,Pardeep Kumar,17,4
381,Mohammad Malak,5,4
382,Sushant Subhash Sail,11,4
383,Tushar Patil,25,4
384,Elavarasan A,3,4
385,K. Prapanjan,48,4
386,Kamal Singh,11,4
387,Sudhanshu Tyagi,13,4
388,C Manoj Kumar,12,4
389,Mohammad Taghi Paein Mahali,11,4
390,Anil Shriram Nimbolkar,6,4
391,Elangeshwaran R,5,4
392,E Subash,4,4
393,Rajnesh Narwal,5,4
394,Narender Hooda,9,3
395,Soleiman Pahlevani,7,3
396,Rohit Kumar Choudary,14,3
397,Akash Pikalmunde,10,3
398,K Prapanjan,20,3
399,Parveen Kumar,8,3
400,Alankar Kaluram Patil,3,3
401,Victor Onyango Obiero,5,3
402,Md Arif Rabbani,2,3
403,Arjun Deshwal,41,3
404,Muruthu M,3,3
405,V. Ajith Kumar,21,3
406,Durgesh Kumar,11,3
407,Tushar Balaram Bhoir,8,3
408,Mohit Rajesh,5,3
409,Palle Mallikarjun,5,2
410,Manish Dalbir Singh,2,2
411,Mohit Balyan,2,2
